Page,Pageviews,Avg. Time on Page,Entrances,Bounce Rate
/animal-shelter/animals/Dog,277127,18,15811,-30.54
/animal-shelter/animals,213586,19,39854,-10.93
/,135918,30,83791,-24.01
/animal-shelter,121038,25,68324,-9.95
/animal-shelter/animals/Cat,92273,31,6407,-32.47
/departments/hr/jobs,91617,53,40744,-60.27
/utilities/pay-bill,85934,82,39897,-68.47
/utilities,57761,24,25262,-16.33
/city,41859,18,2762,-14.84
/parks/facilities/frank-southern,41229,64,23376,-48.71
/services,37448,20,1201,-26.98
/farmers-market,33380,83,22717,-61.0
/parks,31314,43,13585,-27.12
/police,30627,44,17387,-35.95
/transportation/parking/pay-ticket,28334,71,5557,-66.56
/transportation/parking,28257,21,17733,-11.4
/parks/facilities/twin-lakes-recreation-center,28111,61,13404,-34.89
/news,26914,40,1816,-52.64
/about,26026,33,1286,-49.38
/sanitation/trash,23558,81,10197,-53.05
/parks/employment,18613,30,2042,-21.45
/volunteer,17469,69,9767,-54.09
/parks/facilities/cascades-golf-course,17229,96,11238,-50.91
/animal-shelter/animals/Other,16896,19,648,-39.04
/departments,16792,17,1121,-13.56
/parks/pools/bryan-park-pool,16094,126,11786,-67.05
/transportation/parking/downtown,15820,171,9118,-77.25
/maps,14078,72,4767,-55.46
/utilities/residential,14041,122,1884,-61.52
/council,13914,54,4102,-34.84
/sanitation,12308,37,4500,-33.93
/recreation/sports/softball,12138,160,8248,-79.74
/transportation/parking/neighborhood-parking,12077,148,6371,-68.86
/animal-shelter/animals/56672,11282,34,280,-52.86
/parks/parks/griffy-lake,11064,72,6495,-40.31
/police/employment,10871,46,2960,-45.44
/parks/parks/griffy-lake/boathouse,10426,190,7237,-83.68
/contact,10398,33,2146,-28.38
/departments/hand,10275,58,4442,-37.71
/public-safety/accident-reports,10245,76,3841,-64.57
/sanitation/recycling,9557,86,5836,-68.8
/animal-shelter/policies,8905,95,795,-57.48
/departments/police,8516,67,2553,-50.29
/boards,8362,35,706,-33.0
/transportation/parking/downtown-parking,8120,38,2604,-3.53
/parks/trails/b-line-trail,7653,103,4623,-61.0
/ureport,7629,83,2036,-53.29
/gis,7513,40,3735,-36.71
/transportation/parking/monthly-parking,7463,118,3051,-68.67
/animal-shelter/volunteer,7135,99,1552,-58.76
/parks/registration,7038,109,1113,-54.0
/parks/parks/switchyard-park,6995,121,3931,-70.54
/parks/parks/lower-cascades,6772,68,3832,-50.31
/recreation/camps/kid-city-summer,6373,107,3385,-51.37
/planning,6358,43,2015,-34.84
/police/noise,6277,134,4288,-68.98
/fire,6168,37,3238,-27.86
/parks/community-events/concerts,6141,165,4526,-84.38
/animal-shelter/lost-pets,6051,46,1076,-42.19
/transportation/plan,6050,197,4444,-77.16
/planning/udo,5980,139,1842,-47.77
/mayor,5907,67,2764,-51.59
/transportation/roads-and-traffic,5499,51,2976,-50.0
/parks/parks/leonard-springs-nature-park,5456,132,3660,-68.63
/parks/facilities/cascades-golf-course/rates,5337,144,1293,-78.73
/recreation/sports/basketball/youth,5313,99,1491,-50.91
/housing/rental-occupancy,5271,119,1535,-51.27
/animal-shelter/animals/58104,5269,14,58,-3.45
/city/showers-city-hall,5221,68,1243,-59.45
/parks/trails,5181,45,1855,-33.69
/utilities/forms,5094,136,683,-57.69
/rfp,5087,92,3297,-70.64
/departments/parks,5066,73,880,-48.52
/animal-shelter/animals/60245,5038,31,216,-72.69
/parks/facilities/banneker-community-center,5005,69,2611,-48.49
/parks/rentals/shelters,4976,140,1300,-56.85
/departments/planning-and-transportation,4907,57,836,-63.52
/bicentennial,4851,73,2508,-55.5
/contact/directory,4844,119,1968,-61.08
/parks/community-events/fourth-of-july-parade,4828,252,4082,-87.97
/parks/pools/mills-pool,4745,130,2696,-64.35
/farmers-market/vendors,4581,29,375,-36.0
/fire/recruitment,4558,28,212,-57.55
/about/census-data,4532,126,2535,-66.59
/parks/parks/bryan-park,4525,58,2323,-45.2
/parks/parks,4428,44,847,-40.02
/search/node?keys=,4361,15,62,-43.55
/departments/hr/jobs/telecommunicator-6-positions-police-department-central-emergency-dispatch,4259,25,1426,-1.4
/parks/parks/griffy-lake/amenities,4235,138,1383,-60.81
/animal-shelter/animals/60244,4110,25,56,-67.86
/departments/fire,4108,92,1179,-61.49
/clerk,4009,34,1879,-20.65
/departments/utilities,3907,44,636,-45.6
/departments/hr,3878,39,860,-41.51
/departments/public-works,3877,38,735,-41.9
/parks/parks/ferguson-dog-park,3813,78,2352,-47.32
/transportation/parking/appeal-ticket,3760,111,967,-62.25
/utilities/water-quality,3707,103,1858,-61.19
/planning/permits,3695,79,802,-42.02
/transportation/scooters,3691,170,3287,-95.38
/council/meetings/2018,3619,143,287,-64.81
/housing/renters,3573,42,858,-32.05
/parks/facilities/twin-lakes-recreation-center/membership,3551,77,672,-50.0
/animal-shelter/animals/60502,3547,39,240,-75.42
/homeless-resources,3520,160,2556,-71.36
/animal-shelter/animals/58556,3462,14,56,-1.79
/animal-shelter/animals/58735,3455,18,32,-65.62
/parks/facilities/twin-lakes-sports-park,3445,75,1932,-50.21
/animal-shelter/animals/58662,3442,14,32,-31.25
/animal-shelter/animals/58691,3438,23,82,-58.54
/departments/public-works/street,3389,58,1573,-48.51
/animal-shelter/animals/58316,3379,13,42,-0.0
/utilities/faqs,3377,87,908,-60.9
/parks/volunteer,3374,69,919,-42.98
/animal-shelter/strays,3340,77,281,-66.19
/police/employment/applicant-info,3308,147,505,-74.46
/sanitation/leaf-collection,3266,134,2274,-78.94
/animal-shelter/animals/59319,3228,25,60,-65.0
/transportation/bike,3216,86,1652,-51.69
/municipal-code,3211,117,1083,-54.11
/parks/parks/wapehani-mountain-bike-park,3184,134,2059,-65.47
/news/2018/09/25/3701,3164,206,2781,-90.79
/animal-shelter/animals/56133,3132,34,109,-12.84
/animal-shelter/animals/58210,3080,16,33,-0.0
/boards/plan,3078,56,1060,-29.53
/animal-shelter/animals/58654,3065,23,69,-37.68
/city/budget,3060,117,977,-46.88
/locations/lake-monroe,3059,103,2345,-75.91
/animal-shelter/animals/58322,3039,9,19,-5.26
/animal-shelter/animals/60346,3005,21,41,-63.41
/animal-shelter/animals/60138,2924,30,41,-75.61
/recreation/programs/10374,2896,35,428,-9.81
/housing,2880,22,132,-39.39
/engineering/projects,2864,42,629,-32.11
/parks/facilities/twin-lakes-recreation-center/group-classes,2863,40,410,-33.9
/animal-shelter/animals/60279,2852,15,30,-50.0
/farmers-market/a-fair-of-the-arts,2842,87,1382,-70.77
/animal-shelter/animals/58410,2840,22,59,-23.73
/animal-shelter/animals/58379,2813,25,87,-31.03
/transportation/bus,2802,109,1608,-62.56
/animal-shelter/location,2785,78,410,-64.39
